date,open,high,low,close,volume
2023-01-03,185.35,186.75,184.77,186.17,50057158
2023-01-04,185.89,186.35,184.79,185.25,69478449
2023-01-05,185.63,187.13,185.00,186.50,47112545
2023-01-06,185.77,186.99,182.85,184.07,63524919
2023-01-09,183.32,184.58,180.30,181.56,69762142
2023-01-10,182.02,183.85,181.26,183.09,72019145
2023-01-11,183.86,186.92,182.58,185.64,22703717
2023-01-12,185.04,186.04,182.64,183.64,72298120
2023-01-13,183.75,184.18,183.57,184.00,65744966
2023-01-16,184.22,185.12,183.85,184.75,36898667
2023-01-17,184.41,184.98,183.04,183.61,56663494
2023-01-18,183.36,183.77,182.37,182.78,65464797
2023-01-19,182.17,183.18,179.74,180.75,25735256
2023-01-20,180.52,180.90,179.61,179.99,41031090
2023-01-23,179.59,180.25,178.01,178.67,37651532
2023-01-24,179.23,181.49,178.29,180.55,75209932
2023-01-25,179.87,181.01,177.14,178.28,71352259
2023-01-26,177.90,178.53,176.39,177.02,73488409
2023-01-27,176.63,177.28,175.07,175.72,41740102
2023-01-30,175.22,176.05,173.23,174.06,32978570
2023-01-31,173.51,174.42,171.32,172.23,39322933
2023-02-01,172.21,172.25,172.11,172.15,36214227
2023-02-02,172.47,173.74,171.94,173.21,41995929
2023-02-03,172.80,173.48,171.18,171.86,39852438
2023-02-06,172.02,172.67,171.75,172.40,32789372
2023-02-07,172.49,172.87,172.33,172.71,24569022
2023-02-08,172.26,173.01,170.46,171.21,63859584
2023-02-09,171.82,174.25,170.81,173.24,59314119
2023-02-10,172.48,173.74,169.46,170.72,62034071
2023-02-13,170.70,170.74,170.60,170.64,69043326
2023-02-14,171.32,174.06,170.18,172.92,48339973
2023-02-15,173.67,176.70,172.41,175.44,73527090
2023-02-16,175.57,176.07,175.36,175.86,60902906
2023-02-17,175.23,176.29,172.69,173.75,38322699
2023-02-20,173.78,173.90,173.73,173.85,66332888
2023-02-21,173.35,174.18,171.35,172.18,34246007
2023-02-22,172.58,174.16,171.92,173.50,42580338
2023-02-23,173.40,173.57,172.99,173.16,27859331
2023-02-24,173.11,173.20,172.89,172.98,51259947
2023-02-27,172.30,173.43,169.59,170.72,71133016
2023-02-28,170.94,171.83,170.57,171.46,74332529
2023-03-01,172.08,174.58,171.04,173.54,72030845
2023-03-02,174.09,176.27,173.18,175.36,41513631
2023-03-03,175.26,175.43,174.85,175.02,75606222
2023-03-06,175.68,178.33,174.58,177.23,48817662
2023-03-07,177.93,180.74,176.76,179.57,43047321
2023-03-08,179.38,179.70,178.60,178.92,54057232
2023-03-09,179.19,180.25,178.75,179.81,72293162
2023-03-10,180.40,182.76,179.42,181.78,53574959
2023-03-13,181.85,182.11,181.74,182.00,35895531
2023-03-14,182.38,183.92,181.74,183.28,71471741
2023-03-15,183.66,185.17,183.03,184.54,26312712
