date,open,high,low,close,volume
2023-01-03,159.34,160.44,156.70,157.80,37874314
2023-01-04,158.58,161.71,157.28,160.41,22542538
2023-01-05,161.61,166.41,159.61,164.41,52379897
2023-01-06,163.29,165.15,158.82,160.68,43962428
2023-01-09,161.99,167.22,159.81,165.04,71956390
2023-01-10,163.88,165.82,159.22,161.16,36578612
2023-01-11,162.16,166.17,160.49,164.50,27577117
2023-01-12,163.23,165.35,158.14,160.26,60480179
2023-01-13,159.29,160.91,155.41,157.03,47410977
2023-01-16,158.31,163.42,156.18,161.29,60758301
2023-01-17,162.48,167.25,160.49,165.26,38397628
2023-01-18,164.80,165.56,162.97,163.73,56212808
2023-01-19,164.84,169.30,162.98,167.44,48936923
2023-01-20,168.45,172.51,166.76,170.82,37530067
2023-01-23,172.08,177.13,169.98,175.03,22254047
2023-01-24,176.06,180.18,174.34,178.46,71150712
2023-01-25,178.61,179.21,178.36,178.96,31027133
2023-01-26,179.65,182.42,178.50,181.27,34299151
2023-01-27,181.45,182.18,181.15,181.88,69332177
2023-01-30,182.16,183.26,181.70,182.80,65992675
2023-01-31,183.09,184.26,182.60,183.77,54117016
2023-02-01,183.11,184.22,180.45,181.56,36446163
2023-02-02,182.40,185.76,181.00,184.36,31247782
2023-02-03,182.98,185.28,177.47,179.77,33637652
2023-02-06,180.24,182.11,179.46,181.33,22578798
2023-02-07,180.29,182.02,176.15,177.88,28937827
2023-02-08,177.28,178.28,174.89,175.89,65722438
2023-02-09,174.94,176.52,171.16,172.74,62734554
2023-02-10,173.77,177.89,172.05,176.17,53533198
2023-02-13,176.69,178.76,175.83,177.90,30808525
2023-02-14,178.35,180.14,177.60,179.39,56356783
2023-02-15,179.44,179.62,179.36,179.54,25483274
2023-02-16,178.27,180.38,173.21,175.32,78189516
2023-02-17,175.20,175.40,174.73,174.93,76050378
2023-02-20,174.74,175.06,173.97,174.29,23541809
2023-02-21,173.38,174.89,169.75,171.26,72865533
2023-02-22,170.67,171.65,168.31,169.29,75181770
2023-02-23,170.11,173.41,168.74,172.04,49815693
2023-02-24,171.77,172.23,170.66,171.12,65616784
2023-02-27,171.72,174.14,170.71,173.13,45181667
2023-02-28,172.30,173.68,168.99,170.37,66195179
2023-03-01,171.49,175.95,169.63,174.09,32001693
2023-03-02,172.96,174.84,168.46,170.34,43520449
2023-03-03,169.21,171.09,164.69,166.57,38638104
2023-03-06,165.83,167.07,162.86,164.10,71610679
2023-03-07,163.88,164.25,162.99,163.36,73046800
2023-03-08,163.26,163.42,162.88,163.04,63849345
2023-03-09,161.67,163.95,156.19,158.47,63438733
2023-03-10,158.10,158.72,156.61,157.23,35983124
2023-03-13,156.05,158.01,151.35,153.31,26330450
2023-03-14,153.30,153.32,153.25,153.27,77860149
2023-03-15,153.12,153.38,152.50,152.76,56807998
2023-03-16,152.12,153.19,149.55,150.62,59652291
2023-03-17,151.78,156.44,149.84,154.50,62632956
2023-03-20,155.80,160.99,153.64,158.83,50850166
2023-03-21,158.96,159.49,158.74,159.27,64214890
2023-03-22,158.82,159.58,156.99,157.75,71653339
2023-03-23,157.70,157.79,157.48,157.57,73346548
2023-03-24,158.35,161.47,157.05,160.17,57146687
2023-03-27,161.35,166.09,159.38,164.12,68058820
2023-03-28,162.85,164.96,157.78,159.89,40930289
2023-03-29,160.15,161.17,159.72,160.74,57435894
2023-03-30,161.13,162.70,160.48,162.05,73174915
2023-03-31,160.81,162.87,155.86,157.92,48960065
2023-04-03,157.99,158.25,157.88,158.14,67426380
2023-04-04,157.24,158.75,153.62,155.13,32260689
2023-04-05,155.79,158.46,154.68,157.35,65159989
2023-04-06,158.26,161.91,156.74,160.39,35083876
2023-04-07,161.62,166.52,159.58,164.48,79926629
2023-04-10,164.95,166.83,164.17,166.05,32459538
2023-04-11,165.30,166.56,162.28,163.54,42395230
2023-04-12,164.03,166.01,163.21,165.19,49433945
2023-04-13,165.93,168.87,164.70,167.64,79274490
2023-04-14,167.27,167.88,165.81,166.42,46943475
2023-04-17,165.05,167.33,159.57,161.85,79992591
2023-04-18,163.18,168.51,160.96,166.29,20030584
2023-04-19,167.32,171.46,165.60,169.74,36305946
2023-04-20,170.95,175.80,168.93,173.78,76209392
2023-04-21,175.02,179.99,172.95,177.92,56635533
2023-04-24,179.32,184.94,176.98,182.60,56925937
2023-04-25,183.18,185.51,182.21,184.54,35324908
2023-04-26,184.34,184.68,183.53,183.87,43670074
2023-04-27,183.17,184.33,180.39,181.55,22824588
2023-04-28,181.02,181.91,178.88,179.77,51803715
2023-05-01,178.46,180.65,173.20,175.39,32827370
2023-05-02,174.80,175.78,172.45,173.43,47848780
2023-05-03,174.38,178.17,172.80,176.59,32264241
2023-05-04,176.74,177.33,176.49,177.08,61486417
2023-05-05,178.17,182.51,176.36,180.70,74881849
2023-05-08,182.22,188.29,179.69,185.76,50525233
2023-05-09,185.71,185.79,185.52,185.60,72867331
2023-05-10,184.76,186.16,181.39,182.79,23289564
2023-05-11,183.50,186.32,182.32,185.14,50213798
2023-05-12,185.89,188.87,184.65,187.63,79609173
2023-05-15,188.92,194.09,186.77,191.94,54955982
2023-05-16,193.39,199.20,190.97,196.78,66226058
2023-05-17,197.09,198.35,196.57,197.83,24251257
2023-05-18,198.79,202.65,197.18,201.04,58378641
2023-05-19,201.85,205.09,200.50,203.74,71268808
2023-05-22,202.85,204.33,199.29,200.77,44675078
2023-05-23,200.65,200.85,200.18,200.38,65140290
2023-05-24,201.59,206.44,199.57,204.42,54563678
2023-05-25,202.82,205.48,196.44,199.10,32613987
2023-05-26,198.56,199.45,196.43,197.32,48729591
2023-05-29,197.57,198.56,197.16,198.15,62213485
2023-05-30,197.00,198.91,192.41,194.32,72139773
2023-05-31,193.94,194.57,192.44,193.07,74129269
2023-06-01,193.98,197.61,192.47,196.10,36978993
2023-06-02,194.85,196.94,189.84,191.93,54647679
2023-06-05,192.45,194.51,191.59,193.65,64861914
2023-06-06,193.52,193.74,193.00,193.22,59446185
2023-06-07,192.49,193.71,189.57,190.79,77010412
2023-06-08,192.10,197.36,189.91,195.17,27502201
2023-06-09,195.40,196.32,195.02,195.94,69825789
2023-06-12,194.61,196.83,189.28,191.50,28175915
2023-06-13,191.93,193.67,191.21,192.95,73346953
2023-06-14,193.79,197.16,192.39,195.76,73150571
2023-06-15,194.35,196.71,188.69,191.05,36003948
2023-06-16,191.00,191.08,190.81,190.89,35209031
2023-06-19,189.41,191.87,183.51,185.97,55296052
