date,open,high,low,close,volume
2023-01-03,174.85,175.10,174.27,174.51,23248103
2023-01-04,175.22,178.07,174.03,176.88,22256179
2023-01-05,177.64,180.70,176.37,179.43,44944434
2023-01-06,179.72,180.88,179.24,180.40,61850220
2023-01-09,181.46,185.71,179.69,183.94,24571416
2023-01-10,184.64,187.42,183.48,186.26,32262353
2023-01-11,187.06,190.28,185.72,188.94,53171813
2023-01-12,188.20,189.43,185.25,186.48,73096136
2023-01-13,186.57,186.93,186.42,186.78,48107282
2023-01-16,187.54,190.59,186.27,189.32,46174541
2023-01-17,190.26,194.03,188.69,192.46,41485395
2023-01-18,193.46,197.48,191.79,195.81,41649262
2023-01-19,196.62,199.86,195.27,198.51,64776065
2023-01-20,197.96,198.87,195.77,196.68,77423408
2023-01-23,196.79,197.21,196.61,197.03,47512137
2023-01-24,196.60,197.31,194.90,195.61,51532050
2023-01-25,196.23,198.72,195.19,197.68,61383708
2023-01-26,196.89,198.21,193.71,195.03,38764068
2023-01-27,195.21,195.91,194.92,195.62,54742531
2023-01-30,196.12,198.14,195.28,197.30,70654306
2023-01-31,198.41,202.86,196.56,201.01,51981635
2023-02-01,200.05,201.66,196.18,197.79,49401412
2023-02-02,198.57,201.71,197.26,200.40,31707390
2023-02-03,201.39,205.33,199.75,203.69,72420319
2023-02-06,204.62,208.34,203.07,206.79,26091460
2023-02-07,206.19,207.18,203.81,204.80,41115483
2023-02-08,203.92,205.39,200.38,201.85,63460805
2023-02-09,202.21,203.67,201.60,203.06,58919847
2023-02-10,202.37,203.53,199.59,200.75,21140721
2023-02-13,200.38,201.00,198.89,199.51,76943714
2023-02-14,200.53,204.60,198.83,202.90,58462859
2023-02-15,202.02,203.48,198.52,199.98,55367134
2023-02-16,200.28,201.48,199.78,200.98,72981724
2023-02-17,201.04,201.28,200.94,201.18,34523102
2023-02-20,200.07,201.92,195.63,197.48,54146499
2023-02-21,197.93,199.73,197.18,198.98,57895910
2023-02-22,198.71,199.17,197.60,198.06,53131841
2023-02-23,198.21,198.83,197.95,198.57,63139752
2023-02-24,197.55,199.26,193.44,195.15,24189219
2023-02-27,194.67,195.47,192.75,193.55,35246533
2023-02-28,193.27,193.73,192.16,192.62,34594424
2023-03-01,192.91,194.06,192.43,193.58,35709445
2023-03-02,193.36,193.73,192.47,192.84,69824062
2023-03-03,193.40,195.62,192.47,194.69,57420286
2023-03-06,194.90,195.74,194.55,195.39,56360024
2023-03-07,195.96,198.26,195.00,197.30,55188922
2023-03-08,197.71,199.37,197.02,198.68,72246492
2023-03-09,198.05,199.10,195.52,196.57,24968901
2023-03-10,196.84,197.92,196.39,197.47,49088614
2023-03-13,197.36,197.54,196.93,197.11,78908482
2023-03-14,196.94,197.22,196.28,196.56,21113942
2023-03-15,197.40,200.75,196.00,199.35,79853784
2023-03-16,200.44,204.79,198.63,202.98,61518157
2023-03-17,203.77,206.94,202.45,205.62,24838081
2023-03-20,204.41,206.43,199.57,201.59,33955861
2023-03-21,202.67,206.97,200.88,205.18,53359435
2023-03-22,204.40,205.69,201.30,202.59,59162900
2023-03-23,202.49,202.65,202.11,202.27,46834075
2023-03-24,203.01,205.97,201.78,204.74,37227286
2023-03-27,204.73,204.75,204.68,204.70,21435971
2023-03-28,204.20,205.04,202.18,203.02,59072788
2023-03-29,202.74,203.21,201.62,202.09,39162718
2023-03-30,202.03,202.13,201.79,201.89,21949775
2023-03-31,201.44,202.19,199.65,200.40,75105856
2023-04-03,200.32,200.46,199.98,200.12,40969113
2023-04-04,199.98,200.22,199.40,199.64,78456868
2023-04-05,198.99,200.07,196.40,197.48,60298359
2023-04-06,198.56,202.87,196.76,201.07,63064256
2023-04-07,200.00,201.79,195.70,197.49,55807092
2023-04-10,198.11,200.57,197.08,199.54,58793801
2023-04-11,200.39,203.79,198.97,202.37,71580371
2023-04-12,201.41,203.01,197.57,199.17,52393575
2023-04-13,199.64,201.50,198.86,200.72,41948176
2023-04-14,199.72,201.39,195.72,197.39,37643555
2023-04-17,197.83,199.58,197.10,198.85,29042265
2023-04-18,200.01,204.64,198.08,202.71,60374275
2023-04-19,201.53,203.50,196.81,198.78,26406447
2023-04-20,199.21,200.93,198.49,200.21,22717405
2023-04-21,199.48,200.70,196.55,197.77,71894333
2023-04-24,198.57,201.75,197.24,200.42,30318558
2023-04-25,200.25,200.53,199.58,199.86,49367127
2023-04-26,200.24,201.78,199.60,201.14,56967686
2023-04-27,200.84,201.34,199.63,200.13,42054979
2023-04-28,199.13,200.79,195.15,196.81,35165826
2023-05-01,196.11,197.27,193.33,194.49,36914823
2023-05-02,193.67,195.03,190.41,191.77,34241948
2023-05-03,192.21,193.96,191.48,193.23,23492175
2023-05-04,192.77,193.54,190.91,191.68,71550065
2023-05-05,190.71,192.32,186.85,188.46,35554447
2023-05-08,187.92,188.82,185.75,186.65,67022216
2023-05-09,185.56,187.37,181.22,183.03,20580291
2023-05-10,182.88,183.14,182.26,182.52,66195166
2023-05-11,182.59,182.85,182.48,182.74,67279967
2023-05-12,182.32,183.01,180.66,181.35,68434092
2023-05-15,180.87,181.67,178.95,179.75,53549771
2023-05-16,180.20,182.01,179.45,181.26,47359014
2023-05-17,180.57,181.71,177.84,178.98,39959096
2023-05-18,178.15,179.53,174.84,176.22,41535943
2023-05-19,176.11,176.29,175.69,175.87,53188346
2023-05-22,176.18,177.40,175.67,176.89,70094415
2023-05-23,177.09,177.90,176.75,177.56,33042699
2023-05-24,177.79,178.73,177.40,178.34,29968314
2023-05-25,178.66,179.95,178.12,179.41,70523057
2023-05-26,180.41,184.42,178.74,182.75,55514551
2023-05-29,182.90,183.52,182.64,183.26,34621924
2023-05-30,183.83,186.12,182.88,185.17,79692739
2023-05-31,184.21,185.80,180.40,181.99,45868983
2023-06-01,182.11,182.59,181.91,182.39,62464365
2023-06-02,181.36,183.07,177.25,178.96,55441219
2023-06-05,178.62,179.19,177.24,177.81,26682930
2023-06-06,177.97,178.61,177.70,178.34,51561261
2023-06-07,178.15,178.47,177.38,177.70,75092605
2023-06-08,178.72,182.82,177.01,181.11,34460912
2023-06-09,181.59,183.50,180.79,182.70,60236029
2023-06-12,181.90,183.23,178.70,180.03,52933585
2023-06-13,179.06,180.68,175.17,176.79,51043026
2023-06-14,176.75,176.82,176.58,176.65,66691678
2023-06-15,177.36,180.20,176.18,179.02,73858014
2023-06-16,179.11,179.45,178.97,179.31,56259194
2023-06-19,180.26,184.05,178.68,182.47,48626544
