date,open,high,low,close,volume
2023-01-03,140.68,143.40,139.55,142.27,24463484
2023-01-04,142.23,142.29,142.08,142.14,44052635
2023-01-05,142.91,145.98,141.63,144.70,28467339
2023-01-06,144.07,145.11,141.58,142.62,60770970
2023-01-09,143.34,146.24,142.13,145.03,69455073
2023-01-10,145.07,145.23,145.00,145.16,24708995
2023-01-11,144.88,145.35,143.75,144.22,73172700
2023-01-12,143.79,144.50,142.08,142.79,56749362
2023-01-13,143.29,145.30,142.45,144.46,58507444
2023-01-16,144.95,146.92,144.13,146.10,52990303
2023-01-17,145.94,146.20,145.31,145.57,30775284
2023-01-18,145.99,147.69,145.28,146.98,20586339
2023-01-19,146.39,147.37,144.04,145.02,70722268
2023-01-20,144.29,145.50,141.38,142.59,44182249
2023-01-23,143.25,145.90,142.15,144.80,66059664
2023-01-24,145.34,147.50,144.44,146.60,73593775
2023-01-25,146.66,146.87,146.57,146.78,24380454
2023-01-26,146.80,146.90,146.76,146.86,79726056
2023-01-27,147.15,148.29,146.67,147.81,46220461
2023-01-30,147.12,148.26,144.38,145.52,64557690
2023-01-31,145.34,145.64,144.62,144.92,41847366
2023-02-01,145.15,146.09,144.76,145.70,39889254
2023-02-02,146.18,148.10,145.38,147.30,36289779
2023-02-03,147.89,150.24,146.91,149.26,46664489
2023-02-06,149.91,152.53,148.82,151.44,62103208
2023-02-07,151.27,151.56,150.58,150.87,64957390
2023-02-08,151.51,154.09,150.44,153.02,75865404
2023-02-09,152.58,153.31,150.83,151.56,47208801
2023-02-10,152.03,153.90,151.25,153.12,49984873
2023-02-13,153.43,154.69,152.91,154.17,40629867
2023-02-14,154.33,154.96,154.07,154.70,46922794
2023-02-15,154.44,154.87,153.41,153.84,31157743
2023-02-16,154.05,154.88,153.70,154.53,23215555
2023-02-17,155.08,157.29,154.16,156.37,62014395
2023-02-20,156.55,157.26,156.25,156.96,43373866
2023-02-21,156.77,157.09,155.99,156.31,79200512
2023-02-22,157.05,160.03,155.81,158.79,67553683
2023-02-23,158.47,159.00,157.20,157.73,27660257
2023-02-24,157.47,157.91,156.41,156.85,38425690
2023-02-27,156.24,157.26,153.80,154.82,35183530
2023-02-28,155.10,156.20,154.64,155.74,26387134
2023-03-01,156.38,158.94,155.31,157.87,47180093
2023-03-02,158.49,160.98,157.45,159.94,47306923
2023-03-03,160.49,162.70,159.57,161.78,60352713
2023-03-06,161.33,162.09,159.51,160.27,37521051
2023-03-07,159.41,160.84,155.98,157.41,44647620
2023-03-08,157.98,160.26,157.03,159.31,50307985
2023-03-09,159.64,160.94,159.10,160.40,34143679
2023-03-10,160.24,160.51,159.58,159.85,26248720
