date,open,high,low,close,volume
2023-01-03,480.47,482.34,479.69,481.56,20202749
2023-01-04,478.09,483.87,464.22,470.00,61745440
2023-01-05,471.87,479.34,468.76,476.23,74869953
2023-01-06,479.34,491.77,474.16,486.59,53770171
2023-01-09,487.21,489.69,486.18,488.66,44557691
2023-01-10,486.50,490.10,477.85,481.45,32531084
2023-01-11,482.86,488.49,480.51,486.14,31703299
2023-01-12,488.69,498.90,484.44,494.65,43215393
2023-01-13,495.80,500.40,493.88,498.48,76674957
2023-01-16,497.96,498.83,495.87,496.74,46097924
2023-01-17,496.11,497.17,493.57,494.63,65423853
2023-01-18,491.85,496.49,480.72,485.36,71529733
2023-01-19,483.29,486.75,474.98,478.44,60445102
2023-01-20,476.50,479.73,468.75,471.98,27261734
2023-01-23,470.17,473.18,462.95,465.96,72286886
2023-01-24,464.28,467.08,457.57,460.37,44834448
2023-01-25,460.92,463.13,460.00,462.21,73760439
2023-01-26,461.59,462.63,459.09,460.13,67800450
2023-01-27,458.82,461.01,453.57,455.76,59057140
2023-01-30,454.56,456.55,449.78,451.77,21869729
2023-01-31,451.70,451.81,451.43,451.54,51198369
2023-02-01,452.83,457.97,450.69,455.83,55695299
2023-02-02,455.28,456.19,453.10,454.01,67126236
2023-02-03,456.90,468.48,452.08,463.66,32466987
2023-02-06,466.69,478.78,461.65,473.74,31812317
2023-02-07,475.13,480.67,472.82,478.36,71432715
2023-02-08,480.55,489.30,476.90,485.65,25412772
2023-02-09,487.84,496.57,484.20,492.93,67469570
2023-02-10,493.89,497.73,492.29,496.13,59552686
2023-02-13,499.81,514.55,493.67,508.41,25740200
2023-02-14,508.30,508.49,507.84,508.03,50180737
2023-02-15,510.13,518.51,506.64,515.02,29510304
2023-02-16,515.29,516.37,514.84,515.92,67967612
2023-02-17,515.11,516.46,511.86,513.21,27431680
2023-02-20,514.98,522.06,512.03,519.11,56225902
2023-02-21,521.21,529.62,517.71,526.12,71207950
2023-02-22,523.91,527.59,515.07,518.75,37157253
2023-02-23,514.94,521.29,499.69,506.04,58294328
2023-02-24,505.05,506.69,501.11,502.75,77374909
2023-02-27,503.69,507.46,502.12,505.89,69016546
2023-02-28,503.42,507.53,493.56,497.67,47124412
2023-03-01,498.64,502.52,497.02,500.90,66053144
2023-03-02,498.46,502.53,488.69,492.76,47361665
2023-03-03,490.84,494.04,483.15,486.35,48713877
2023-03-06,487.95,494.37,485.28,491.70,68539171
2023-03-07,493.91,502.77,490.22,499.08,61876172
2023-03-08,498.22,499.65,494.78,496.21,42091118
2023-03-09,492.56,498.64,477.97,484.05,37671473
2023-03-10,486.99,498.75,482.09,493.85,63545877
2023-03-13,493.92,494.22,493.80,494.10,26794796
2023-03-14,490.91,496.22,478.17,483.48,32794376
2023-03-15,482.17,484.35,476.95,479.13,70201238
2023-03-16,478.99,479.23,478.41,478.65,51694207
2023-03-17,477.64,479.32,473.62,475.30,33953153
2023-03-20,472.38,477.25,460.69,465.56,37932010
2023-03-21,463.40,467.01,454.73,458.34,28885161
2023-03-22,460.88,471.06,456.64,466.82,30428310
2023-03-23,465.73,467.54,461.39,463.20,27128778
2023-03-24,465.98,477.09,461.35,472.46,79959911
2023-03-27,475.44,487.34,470.48,482.38,39327200
2023-03-28,481.01,483.30,475.51,477.80,70784505
2023-03-29,478.95,483.53,477.04,481.62,78741687
2023-03-30,480.90,482.10,478.01,479.21,72951890
2023-03-31,478.49,479.69,475.61,476.81,27306034
2023-04-03,476.70,476.88,476.27,476.45,44653070
2023-04-04,479.74,492.89,474.26,487.41,47639106
2023-04-05,490.19,501.30,485.56,496.67,59064131
2023-04-06,497.27,499.65,496.28,498.66,54768139
2023-04-07,502.06,515.67,496.39,510.00,56518516
2023-04-10,509.54,510.31,507.71,508.47,71669844
2023-04-11,509.69,514.57,507.66,512.54,66226575
2023-04-12,511.96,512.92,509.66,510.62,37715231
2023-04-13,510.31,510.82,509.09,509.60,47239099
2023-04-14,507.73,510.85,500.24,503.36,29080820
2023-04-17,505.02,511.67,502.25,508.90,76994635
2023-04-18,511.57,522.26,507.12,517.81,59156743
2023-04-19,519.87,528.10,516.44,524.67,60257217
2023-04-20,528.41,543.36,522.18,537.13,26080075
2023-04-21,540.19,552.44,535.09,547.34,68446736
2023-04-24,548.16,551.45,546.79,550.08,52007116
2023-04-25,549.17,550.68,545.54,547.05,66564775
2023-04-26,546.84,547.18,546.03,546.37,67847377
2023-04-27,543.67,548.18,532.84,537.35,54141010
2023-04-28,537.39,537.55,537.32,537.48,60409293
2023-05-01,535.50,538.79,527.61,530.90,60643010
2023-05-02,531.78,535.28,530.32,533.82,21514438
2023-05-03,536.26,546.03,532.19,541.96,75092267
2023-05-04,545.37,559.03,539.68,553.34,26258367
2023-05-05,552.92,553.61,551.27,551.96,20873007
2023-05-08,552.87,556.52,551.35,555.00,35999306
2023-05-09,552.29,556.80,541.47,545.98,51267849
2023-05-10,541.97,548.66,525.91,532.60,71292440
2023-05-11,531.84,533.10,528.81,530.07,61763271
2023-05-12,531.78,538.62,528.93,535.77,66013887
2023-05-15,535.73,535.80,535.57,535.64,43501463
2023-05-16,535.32,535.86,534.03,534.57,42402257
2023-05-17,535.89,541.19,533.68,538.98,38419021
2023-05-18,541.57,551.91,537.26,547.60,58820608
2023-05-19,550.80,563.62,545.46,558.28,66124296
2023-05-22,561.84,576.07,555.91,570.14,45207922
2023-05-23,568.00,571.56,559.45,563.01,64791816
2023-05-24,560.98,564.36,552.87,556.25,77423422
2023-05-25,552.83,558.53,539.15,544.85,66298040
2023-05-26,542.52,546.40,533.21,537.09,60876076
2023-05-29,536.89,537.23,536.08,536.42,79397383
2023-05-30,539.76,553.12,534.19,547.55,73292082
2023-05-31,543.77,550.07,528.66,534.96,67203171
2023-06-01,536.52,542.79,533.91,540.18,69787661
2023-06-02,543.42,556.38,538.02,550.98,51342772
2023-06-05,548.58,552.57,539.00,542.99,49819845
2023-06-06,546.98,562.94,540.33,556.29,28482562
2023-06-07,558.04,565.05,555.12,562.13,65433950
2023-06-08,563.86,570.77,560.98,567.89,37402679
2023-06-09,569.25,574.70,566.98,572.43,20916655
2023-06-12,572.90,574.79,572.11,574.00,43859599
2023-06-13,572.92,574.71,568.62,570.41,48300808
2023-06-14,567.67,572.23,556.72,561.28,73793964
2023-06-15,557.20,564.01,540.86,547.67,55751148
2023-06-16,545.78,548.93,538.22,541.37,48314567
2023-06-19,542.47,546.85,540.64,545.02,31170807
