date,open,high,low,close,volume
2023-01-03,379.71,380.19,378.56,379.04,56150006
2023-01-04,379.78,382.73,378.55,381.50,31989656
2023-01-05,381.06,381.79,379.31,380.04,25486343
2023-01-06,380.53,382.50,379.71,381.68,43820940
2023-01-09,380.68,382.35,376.67,378.34,62202967
2023-01-10,378.73,380.32,378.07,379.66,31750320
2023-01-11,378.63,380.34,374.53,376.24,40470619
2023-01-12,375.86,376.49,374.35,374.98,45179223
2023-01-13,375.68,378.49,374.51,377.32,44695345
2023-01-16,376.84,377.63,374.95,375.74,58684526
2023-01-17,375.74,375.74,375.74,375.74,63007122
2023-01-18,375.62,375.82,375.13,375.33,56154622
2023-01-19,375.91,378.24,374.94,377.27,71457295
2023-01-20,378.42,383.04,376.50,381.12,75446364
2023-01-23,382.44,387.71,380.24,385.51,74174719
2023-01-24,385.93,387.59,385.24,386.90,48535167
2023-01-25,386.80,386.96,386.42,386.58,39356596
2023-01-26,387.50,391.17,385.97,389.64,63316160
2023-01-27,389.82,390.55,389.52,390.25,69253685
2023-01-30,391.42,396.08,389.48,394.14,67751208
2023-01-31,392.99,394.91,388.39,390.31,54779961
2023-02-01,390.93,393.40,389.90,392.37,52674148
2023-02-02,392.68,393.93,392.16,393.41,30809490
2023-02-03,392.50,394.01,388.88,390.39,33466238
2023-02-06,390.54,391.17,390.28,390.91,39519377
2023-02-07,392.06,396.68,390.14,394.76,49771576
2023-02-08,393.52,395.58,388.58,390.64,32252745
2023-02-09,391.09,392.89,390.34,392.14,33373038
2023-02-10,393.41,398.50,391.29,396.38,48233754
2023-02-13,395.67,396.86,392.81,394.00,79722483
2023-02-14,394.00,394.00,394.00,394.00,29244773
2023-02-15,392.94,394.71,388.68,390.45,41553276
2023-02-16,389.94,390.78,387.92,388.76,42553967
2023-02-17,389.67,393.31,388.15,391.79,48036046
2023-02-20,391.86,392.15,391.74,392.03,69297735
2023-02-21,393.27,398.24,391.20,396.17,58636220
2023-02-22,397.23,401.45,395.47,399.69,47924825
2023-02-23,400.78,405.16,398.96,403.34,60937354
2023-02-24,403.24,403.41,402.83,403.00,58642998
2023-02-27,404.25,409.24,402.17,407.16,29051222
2023-02-28,406.09,407.87,401.81,403.59,35550935
2023-03-01,404.91,410.20,402.71,408.00,31501772
2023-03-02,406.90,408.74,402.49,404.33,74484544
2023-03-03,404.20,404.42,403.67,403.89,61418624
2023-03-06,403.93,404.11,403.86,404.04,40956997
2023-03-07,405.26,410.15,403.22,408.11,43535247
2023-03-08,407.04,408.83,402.74,404.53,68807303
2023-03-09,403.53,405.20,399.51,401.18,69479635
2023-03-10,402.28,406.67,400.45,404.84,30040939
2023-03-13,406.06,410.96,404.02,408.92,77284021
2023-03-14,408.20,409.40,405.32,406.52,50677136
2023-03-15,407.06,409.22,406.16,408.32,52069952
2023-03-16,408.82,410.82,407.99,409.99,30180962
2023-03-17,410.48,412.42,409.67,411.61,78686252
2023-03-20,411.05,411.99,408.79,409.73,26779468
2023-03-21,410.45,413.34,409.25,412.14,27741774
2023-03-22,411.10,412.83,406.95,408.68,56494810
2023-03-23,409.89,414.71,407.88,412.70,62860068
2023-03-24,413.87,418.57,411.91,416.61,22512913
2023-03-27,415.28,417.50,409.94,412.16,51148117
2023-03-28,413.39,418.32,411.34,416.27,74038339
2023-03-29,417.18,420.84,415.66,419.32,54841566
2023-03-30,418.32,419.98,414.34,416.00,22612256
2023-03-31,414.58,416.95,408.89,411.26,55557007
2023-04-03,411.51,412.52,411.09,412.10,74303572
2023-04-04,412.34,413.29,411.94,412.89,65020553
