date,open,high,low,close,volume
2023-01-03,577.47,581.68,567.37,571.58,52243844
2023-01-04,567.88,574.04,553.10,559.26,46725133
2023-01-05,557.56,560.39,550.77,553.60,22236231
2023-01-06,551.66,554.89,543.92,547.15,21466982
2023-01-09,546.61,547.51,544.44,545.34,40073894
2023-01-10,545.95,548.40,544.93,547.38,64454662
2023-01-11,547.67,548.82,547.19,548.34,22229571
2023-01-12,546.31,549.69,538.20,541.58,50682344
2023-01-13,540.29,542.43,535.15,537.29,51874402
2023-01-16,535.77,538.31,529.67,532.21,49266529
2023-01-17,530.00,533.69,521.14,524.83,23039189
2023-01-18,523.96,525.40,520.50,521.94,24210929
2023-01-19,520.36,523.00,514.02,516.66,78506086
2023-01-20,519.52,530.98,514.75,526.21,53484265
2023-01-23,525.06,526.97,520.48,522.39,32626928
2023-01-24,521.36,523.08,517.22,518.94,45864358
2023-01-25,515.93,520.95,503.87,508.89,28357462
2023-01-26,511.01,519.47,507.48,515.94,78035534
2023-01-27,517.57,524.11,514.85,521.39,70654036
2023-01-30,524.59,537.39,519.26,532.06,62359415
2023-01-31,535.22,547.86,529.95,542.59,75688890
2023-02-01,539.33,544.76,526.30,531.73,65198157
2023-02-02,532.33,534.71,531.34,533.72,31528848
2023-02-03,530.55,535.83,517.87,523.15,44475286
2023-02-06,526.15,538.17,521.14,533.16,44158186
2023-02-07,531.75,534.10,526.12,528.47,60687257
2023-02-08,528.92,530.74,528.16,529.98,60053139
2023-02-09,527.71,531.50,518.61,522.40,48938747
2023-02-10,523.68,528.78,521.55,526.65,64270287
2023-02-13,525.19,527.62,519.35,521.78,29923689
2023-02-14,523.78,531.77,520.45,528.44,73614927
2023-02-15,526.94,529.44,520.94,523.44,49655266
2023-02-16,522.06,524.36,516.53,518.83,63855641
2023-02-17,521.30,531.16,517.19,527.05,40528632
2023-02-20,530.35,543.58,524.84,538.07,35497330
2023-02-21,539.49,545.18,537.12,542.81,40193904
2023-02-22,543.67,547.11,542.24,545.68,47942079
2023-02-23,544.17,546.69,538.12,540.64,79743762
2023-02-24,542.17,548.31,539.61,545.75,29540629
2023-02-27,543.05,547.55,532.25,536.75,63543178
2023-02-28,539.51,550.57,534.90,545.96,69224250
2023-03-01,547.94,555.87,544.64,552.57,54237441
2023-03-02,551.80,553.08,548.74,550.02,29872842
2023-03-03,552.71,563.45,548.23,558.97,60871922
2023-03-06,559.56,561.92,558.58,560.94,56227205
2023-03-07,560.90,560.96,560.76,560.82,78783619
2023-03-08,558.56,562.32,549.53,553.29,28650523
2023-03-09,553.33,553.47,553.27,553.41,25188677
2023-03-10,556.30,567.84,551.49,563.03,36472942
2023-03-13,566.15,578.63,560.95,573.43,75555441
2023-03-14,576.15,587.05,571.61,582.51,28242492
2023-03-15,580.40,583.92,571.94,575.46,76840664
2023-03-16,577.25,584.39,574.27,581.41,56505590
2023-03-17,583.18,590.23,580.24,587.29,34978979
2023-03-20,590.86,605.12,584.92,599.18,28101717
2023-03-21,595.86,601.40,582.57,588.11,51911636
2023-03-22,587.57,588.48,585.39,586.30,79571723
2023-03-23,583.48,588.19,572.17,576.88,71611469
2023-03-24,580.19,593.44,574.67,587.92,65317493
2023-03-27,584.47,590.23,570.65,576.41,43813542
2023-03-28,578.35,586.11,575.12,582.88,66210157
2023-03-29,579.84,584.91,567.68,572.75,51654318
2023-03-30,569.31,575.04,555.55,561.28,37747321
2023-03-31,558.72,562.98,548.50,552.76,77647790
2023-04-03,549.15,555.17,534.70,540.72,36197601
2023-04-04,537.72,542.72,525.73,530.73,24919734
2023-04-05,527.47,532.90,514.44,519.87,77751079
2023-04-06,519.29,520.26,516.96,517.93,62011136
2023-04-07,518.48,520.66,517.57,519.75,53056156
2023-04-10,522.32,532.62,518.03,528.33,43772603
2023-04-11,528.12,528.47,527.28,527.63,33618524
2023-04-12,525.33,529.16,516.14,519.97,30651979
2023-04-13,518.01,521.27,510.19,513.45,34553639
2023-04-14,513.35,513.52,512.94,513.11,72980066
2023-04-17,510.06,515.14,497.87,502.95,38444775
2023-04-18,502.52,503.24,500.79,501.51,41922535
2023-04-19,502.44,506.14,500.90,504.60,34234608
2023-04-20,507.83,520.75,502.45,515.37,71414534
2023-04-21,512.68,517.16,501.93,506.41,22941265
2023-04-24,504.67,507.57,497.72,500.62,20438077
2023-04-25,499.93,501.09,497.15,498.31,78890528
2023-04-26,496.07,499.80,487.13,490.86,53306754
2023-04-27,493.65,504.79,489.01,500.15,23824640
2023-04-28,497.28,502.07,485.79,490.58,20620254
2023-05-01,489.32,491.42,484.27,486.37,30107829
2023-05-02,487.59,492.47,485.56,490.44,59938269
2023-05-03,493.09,503.71,488.67,499.29,21787630
2023-05-04,497.87,500.23,492.21,494.57,52647328
2023-05-05,497.21,507.79,492.80,503.38,51710452
2023-05-08,501.15,504.86,492.25,495.96,56544986
2023-05-09,493.28,497.75,482.54,487.01,46745199
2023-05-10,484.79,488.49,475.92,479.62,26647810
2023-05-11,477.21,481.22,467.59,471.60,25080533
2023-05-12,468.89,473.40,458.06,462.57,30429503
2023-05-15,459.79,464.42,448.68,453.31,29937204
2023-05-16,455.16,462.58,452.07,459.49,77361752
2023-05-17,462.07,472.38,457.77,468.08,49910040
2023-05-18,469.87,477.04,466.88,474.05,47729744
2023-05-19,476.40,485.78,472.49,481.87,43831556
2023-05-22,481.90,482.03,481.85,481.98,46817643
2023-05-23,479.50,483.64,469.57,473.71,32460371
2023-05-24,473.02,474.17,470.27,471.42,78821887
2023-05-25,473.91,483.87,469.76,479.72,61166223
2023-05-26,479.28,480.02,477.50,478.24,55959202
2023-05-29,480.95,491.81,476.43,487.29,68188784
2023-05-30,486.78,487.64,484.71,485.57,55876254
2023-05-31,486.44,489.89,485.00,488.45,72190793
2023-06-01,487.77,488.90,485.06,486.19,48996868
2023-06-02,487.86,494.53,485.08,491.75,29830880
2023-06-05,490.19,492.79,483.96,486.56,71230813
2023-06-06,488.10,494.27,485.53,491.70,69505727
2023-06-07,491.21,492.02,489.27,490.08,37719776
2023-06-08,487.65,491.69,477.95,481.99,74728762
2023-06-09,481.74,482.16,480.72,481.14,34316189
2023-06-12,480.98,481.24,480.35,480.61,58833883
2023-06-13,477.47,482.70,464.91,470.14,69106022
2023-06-14,469.02,470.88,464.56,466.42,67507744
2023-06-15,467.41,471.34,465.77,469.70,46987036
2023-06-16,470.44,473.42,469.20,472.18,53130787
2023-06-19,470.09,473.57,461.74,465.22,54295343
