date,open,high,low,close,volume
2023-01-03,482.89,494.47,478.07,489.65,44508393
2023-01-04,486.04,492.06,471.58,477.60,25360788
2023-01-05,476.35,478.43,471.36,473.44,70031958
2023-01-06,471.22,474.91,462.36,466.05,72373697
2023-01-09,464.04,467.40,455.98,459.34,54894584
2023-01-10,461.57,470.50,457.85,466.78,28096105
2023-01-11,470.69,486.31,464.18,479.80,44930222
2023-01-12,482.52,493.40,477.99,488.87,78710767
2023-01-13,487.64,489.69,482.71,484.76,40389531
2023-01-16,486.42,493.05,483.66,490.29,52929489
2023-01-17,486.01,493.14,468.89,476.02,40949433
2023-01-18,472.29,478.50,457.39,463.60,20374112
2023-01-19,463.22,463.85,461.72,462.35,72507068
2023-01-20,464.93,475.25,460.63,470.95,37547489
2023-01-23,472.73,479.85,469.76,476.88,20913468
2023-01-24,477.27,478.81,476.63,478.17,74458295
2023-01-25,481.10,492.80,476.22,487.92,30352959
2023-01-26,489.94,498.02,486.57,494.65,37907043
2023-01-27,498.08,511.79,492.37,506.08,51351973
2023-01-30,507.36,512.46,505.23,510.33,43439204
2023-01-31,510.84,512.85,510.00,512.01,63153624
2023-02-01,512.24,513.16,511.86,512.78,39551165
2023-02-02,514.67,522.24,511.52,519.09,37072837
2023-02-03,523.72,542.22,516.01,534.51,36296382
2023-02-06,534.51,534.51,534.51,534.51,29045678
2023-02-07,534.37,534.61,533.79,534.03,22105911
2023-02-08,531.77,535.53,522.74,526.50,54346686
2023-02-09,530.86,548.30,523.59,541.03,44847012
2023-02-10,543.90,555.40,539.11,550.61,22713445
2023-02-13,554.92,572.17,547.73,564.98,32253627
2023-02-14,562.84,566.40,554.30,557.86,48438571
2023-02-15,558.46,560.87,557.46,559.87,71716652
2023-02-16,560.17,561.38,559.67,560.88,72890362
2023-02-17,562.44,568.71,559.83,566.10,40752187
2023-02-20,570.63,588.77,563.07,581.21,47210264
2023-02-21,582.36,586.97,580.44,585.05,67893243
2023-02-22,582.58,586.70,572.68,576.80,55237535
2023-02-23,574.46,578.35,565.12,569.01,47584431
2023-02-24,569.47,571.32,568.70,570.55,26988494
2023-02-27,574.66,591.09,567.81,584.24,47313558
2023-02-28,586.71,596.60,582.59,592.48,64300289
2023-03-01,595.63,608.21,590.39,602.97,70541545
2023-03-02,604.87,612.47,601.70,609.30,35712202
2023-03-03,604.04,612.81,582.98,591.75,53853698
2023-03-06,588.61,593.85,576.04,581.28,56064756
2023-03-07,582.33,586.51,580.59,584.77,40985190
2023-03-08,582.09,586.56,571.35,575.82,57758339
2023-03-09,577.06,582.04,574.99,579.97,36513119
2023-03-10,584.82,604.24,576.73,596.15,40116997
2023-03-13,593.90,597.66,584.88,588.64,61415645
2023-03-14,591.92,605.06,586.45,599.59,36696670
2023-03-15,596.95,601.36,586.37,590.78,26731917
2023-03-16,591.90,596.36,590.04,594.50,43932886
2023-03-17,589.52,597.81,569.62,577.91,66044855
2023-03-20,574.17,580.41,559.19,565.43,37140170
2023-03-21,567.31,574.85,564.17,571.71,45263597
2023-03-22,569.34,573.28,559.88,563.82,36936271
2023-03-23,567.12,580.31,561.62,574.81,50226948
2023-03-24,573.93,575.40,570.41,571.88,37659902
2023-03-27,567.66,574.69,550.78,557.81,78253694
2023-03-28,560.87,573.12,555.77,568.02,34427061
2023-03-29,565.77,569.52,556.77,560.52,58087539
2023-03-30,558.65,561.76,551.19,554.30,61219279
