date,open,high,low,close,volume
2023-01-03,243.15,246.24,235.74,238.83,58416510
2023-01-04,237.07,240.00,230.05,232.98,23927980
2023-01-05,233.96,237.87,232.33,236.24,58717743
2023-01-06,234.33,237.51,226.69,229.87,79576071
2023-01-09,231.32,237.11,228.91,234.70,71576375
2023-01-10,233.66,235.39,229.52,231.25,56410392
2023-01-11,228.97,232.77,219.84,223.64,27131054
2023-01-12,224.11,225.99,223.33,225.21,76930217
2023-01-13,223.58,226.30,217.05,219.77,56646289
2023-01-16,221.32,227.50,218.74,224.92,52178026
2023-01-17,224.90,224.94,224.80,224.84,49653858
2023-01-18,222.69,226.27,214.10,217.68,31948038
2023-01-19,217.52,217.79,216.88,217.15,52824806
2023-01-20,218.18,222.28,216.47,220.57,49190714
2023-01-23,222.10,228.22,219.55,225.67,49895135
2023-01-24,226.59,230.29,225.05,228.75,74177260
2023-01-25,229.85,234.27,228.01,232.43,46663714
2023-01-26,233.46,237.56,231.75,235.85,69722235
2023-01-27,233.57,237.37,224.46,228.26,59305122
2023-01-30,226.65,229.33,220.23,222.91,61429452
2023-01-31,222.61,223.12,221.39,221.90,31484484
2023-02-01,223.18,228.31,221.04,226.17,79678004
2023-02-02,226.79,229.26,225.76,228.23,66237007
2023-02-03,226.38,229.46,219.00,222.08,49263752
2023-02-06,221.61,222.39,219.75,220.53,74355623
2023-02-07,220.02,220.87,217.98,218.83,44785320
2023-02-08,216.53,220.36,207.34,211.17,56363284
2023-02-09,210.68,211.49,208.73,209.54,50574588
2023-02-10,210.31,213.39,209.03,212.11,42297644
2023-02-13,212.87,215.89,211.61,214.63,22147378
2023-02-14,212.71,215.90,205.05,208.24,67037072
2023-02-15,209.57,214.91,207.35,212.69,64879522
2023-02-16,213.81,218.27,211.95,216.41,49436074
2023-02-17,218.64,227.54,214.93,223.83,75783148
2023-02-20,224.18,225.60,223.59,225.01,52879660
2023-02-21,223.36,226.12,216.74,219.50,62373848
2023-02-22,218.35,220.27,213.74,215.66,55594340
2023-02-23,213.80,216.89,206.38,209.47,42285095
2023-02-24,210.31,213.65,208.92,212.26,66304070
2023-02-27,213.89,220.39,211.18,217.68,28174760
2023-02-28,215.90,218.87,208.77,211.74,74344282
2023-03-01,211.38,211.97,209.96,210.55,33549510
2023-03-02,209.14,211.50,203.47,205.83,57327975
2023-03-03,205.33,206.16,203.34,204.17,30423719
2023-03-06,203.87,204.37,202.67,203.17,25065401
2023-03-07,204.79,211.27,202.09,208.57,47226650
2023-03-08,208.90,210.21,208.35,209.66,30080932
2023-03-09,208.78,210.25,205.25,206.72,41484700
2023-03-10,205.83,207.31,202.27,203.75,38107512
2023-03-13,202.74,204.42,198.72,200.40,59633753
2023-03-14,202.44,210.60,199.04,207.20,44110417
2023-03-15,207.33,207.86,207.11,207.64,46467883
2023-03-16,209.54,217.12,206.38,213.96,64662784
2023-03-17,213.38,214.35,211.04,212.01,25806463
2023-03-20,210.79,212.83,205.89,207.93,76529231
2023-03-21,207.01,208.54,203.34,204.87,64637889
2023-03-22,203.43,205.83,197.67,200.07,64173785
2023-03-23,202.11,210.26,198.71,206.86,34288766
2023-03-24,208.34,214.24,205.88,211.78,56895816
2023-03-27,211.87,212.23,211.72,212.08,64327023
2023-03-28,213.10,217.20,211.39,215.49,79332678
2023-03-29,217.73,226.69,214.00,222.96,56104002
2023-03-30,221.13,224.17,213.83,216.87,76770580
2023-03-31,218.78,226.44,215.59,223.25,27401078
2023-04-03,225.31,233.57,221.87,230.13,32206732
2023-04-04,231.31,236.05,229.34,234.08,71558949
2023-04-05,236.49,246.12,232.48,242.11,51991795
2023-04-06,243.46,248.85,241.21,246.60,44071366
2023-04-07,244.89,247.74,238.05,240.90,32730764
2023-04-10,242.16,247.23,240.05,245.12,65395924
2023-04-11,242.55,246.84,232.25,236.54,27145545
2023-04-12,237.78,242.75,235.71,240.68,55332375
2023-04-13,239.64,241.37,235.50,237.23,43501029
2023-04-14,236.03,238.02,231.25,233.24,27945640
2023-04-17,234.78,240.95,232.21,238.38,44046653
2023-04-18,236.65,239.53,229.74,232.62,64568939
2023-04-19,231.37,233.45,226.39,228.47,75547808
2023-04-20,227.44,229.16,223.31,225.03,47346035
2023-04-21,224.18,225.60,220.77,222.19,47040778
2023-04-24,221.49,222.66,218.69,219.86,76641793
2023-04-25,219.91,220.09,219.83,220.01,20493625
2023-04-26,218.51,221.01,212.50,215.00,72389582
2023-04-27,212.81,216.46,204.05,207.70,77812720
2023-04-28,208.44,211.41,207.20,210.17,79270442
2023-05-01,209.11,210.88,204.87,206.64,75823096
2023-05-02,204.69,207.94,196.88,200.13,34852652
2023-05-03,199.23,200.74,195.61,197.12,34686506
2023-05-04,195.40,198.26,188.53,191.39,60409079
2023-05-05,192.17,195.31,190.86,194.00,74843561
2023-05-08,192.76,194.83,187.79,189.86,58285748
2023-05-09,188.50,190.76,183.08,185.34,67154113
2023-05-10,186.66,191.96,184.45,189.75,50272187
