date,open,high,low,close,volume
2024-01-02,185.50,186.75,184.00,186.25,45000000
2024-01-03,186.00,188.50,185.50,187.75,52000000
2024-01-04,187.50,189.00,186.00,188.50,48000000
2024-01-05,188.00,190.25,187.50,189.75,55000000
2024-01-08,189.50,191.00,188.75,190.50,42000000
2024-01-09,190.25,192.50,189.50,191.25,51000000
2024-01-10,191.00,193.00,190.25,192.00,47000000
2024-01-11,191.75,193.50,191.00,192.75,44000000
2024-01-12,192.50,194.00,191.75,193.50,49000000
2024-01-16,193.00,195.25,192.50,194.25,53000000
2024-01-17,194.00,196.00,193.25,195.00,56000000
2024-01-18,194.75,196.50,194.00,195.75,48000000
2024-01-19,195.50,197.00,194.75,196.50,52000000
2024-01-22,196.00,198.25,195.50,197.25,58000000
2024-01-23,197.00,199.00,196.25,198.00,61000000
2024-01-24,197.75,199.50,197.00,198.75,54000000
2024-01-25,198.50,200.00,197.75,199.50,63000000
2024-01-26,199.00,201.25,198.50,200.25,67000000
2024-01-29,200.00,202.00,199.25,201.00,59000000
2024-01-30,200.75,202.50,200.00,201.75,55000000
