date,open,high,low,close,volume
2024-01-02,138.50,141.00,137.50,140.25,55000000
2024-01-03,140.00,143.50,139.25,142.75,65000000
2024-01-04,142.50,145.50,141.75,145.00,60000000
2024-01-05,144.75,148.00,144.00,147.50,70000000
2024-01-08,147.25,150.00,146.50,149.50,53000000
2024-01-09,149.25,152.50,148.50,152.00,62000000
2024-01-10,151.75,154.50,151.00,154.00,57000000
2024-01-11,153.75,156.50,153.00,156.00,55000000
2024-01-12,155.75,158.50,155.00,158.00,61000000
2024-01-16,157.75,160.50,157.00,160.00,67000000
2024-01-17,159.75,162.50,159.00,162.00,72000000
2024-01-18,161.75,164.50,161.00,164.00,64000000
2024-01-19,163.75,166.50,163.00,166.00,69000000
2024-01-22,165.75,168.50,165.00,168.00,76000000
2024-01-23,167.75,170.50,167.00,170.00,82000000
2024-01-24,169.75,172.50,169.00,172.00,73000000
2024-01-25,171.75,174.50,171.00,174.00,85000000
2024-01-26,173.75,176.50,173.00,176.00,90000000
2024-01-29,175.75,178.50,175.00,178.00,79000000
2024-01-30,177.75,180.50,177.00,180.00,75000000
