date,open,high,low,close,volume
2024-01-02,152.50,154.00,151.50,153.50,48000000
2024-01-03,153.25,155.50,152.50,155.00,55000000
2024-01-04,154.75,156.75,154.00,156.25,51000000
2024-01-05,156.00,158.00,155.25,157.50,58000000
2024-01-08,157.25,159.50,156.50,159.00,46000000
2024-01-09,158.75,161.00,158.00,160.50,54000000
2024-01-10,160.25,162.50,159.50,162.00,49000000
2024-01-11,161.75,164.00,161.00,163.50,47000000
2024-01-12,163.25,165.50,162.50,165.00,52000000
2024-01-16,164.50,167.00,164.00,166.50,56000000
2024-01-17,166.25,168.50,165.50,168.00,60000000
2024-01-18,167.75,170.00,167.00,169.50,53000000
2024-01-19,169.25,171.50,168.50,171.00,57000000
2024-01-22,170.50,173.00,170.00,172.50,63000000
2024-01-23,172.25,174.50,171.50,174.00,66000000
2024-01-24,173.75,176.00,173.00,175.50,59000000
2024-01-25,175.25,177.50,174.50,177.00,68000000
2024-01-26,176.75,179.00,176.00,178.50,72000000
2024-01-29,178.25,180.50,177.50,180.00,64000000
2024-01-30,179.75,182.00,179.00,181.50,61000000
