date,open,high,low,close,volume
2024-01-02,140.25,141.50,139.75,141.00,28000000
2024-01-03,141.00,142.75,140.50,142.25,32000000
2024-01-04,142.00,143.50,141.50,143.00,29000000
2024-01-05,142.75,144.25,142.25,143.75,34000000
2024-01-08,143.50,145.00,143.00,144.50,27000000
2024-01-09,144.25,146.00,143.75,145.25,31000000
2024-01-10,145.00,146.75,144.50,146.00,28000000
2024-01-11,145.75,147.25,145.25,146.75,26000000
2024-01-12,146.50,148.00,146.00,147.50,30000000
2024-01-16,147.00,149.00,146.50,148.25,33000000
2024-01-17,148.00,149.75,147.50,149.00,35000000
2024-01-18,148.75,150.50,148.25,149.75,29000000
2024-01-19,149.50,151.00,149.00,150.50,32000000
2024-01-22,150.00,152.00,149.50,151.25,37000000
2024-01-23,151.00,152.75,150.50,152.00,39000000
2024-01-24,151.75,153.50,151.25,152.75,33000000
2024-01-25,152.50,154.00,152.00,153.50,41000000
2024-01-26,153.00,155.00,152.50,154.25,43000000
2024-01-29,154.00,155.75,153.50,155.00,38000000
2024-01-30,154.75,156.50,154.25,155.75,35000000
