date,open,high,low,close,volume
2024-01-02,48.50,49.25,48.00,48.90,38000000
2024-01-03,48.80,49.75,48.50,49.40,45000000
2024-01-04,49.30,50.25,49.00,49.90,42000000
2024-01-05,49.80,50.75,49.50,50.40,48000000
2024-01-08,50.30,51.00,50.00,50.75,36000000
2024-01-09,50.65,51.50,50.35,51.20,44000000
2024-01-10,51.10,51.85,50.80,51.55,40000000
2024-01-11,51.45,52.20,51.15,51.90,38000000
2024-01-12,51.80,52.55,51.50,52.25,43000000
2024-01-16,52.15,52.90,51.85,52.60,47000000
2024-01-17,52.50,53.25,52.20,52.95,51000000
2024-01-18,52.85,53.60,52.55,53.30,45000000
2024-01-19,53.20,53.95,52.90,53.65,49000000
2024-01-22,53.55,54.30,53.25,54.00,54000000
2024-01-23,53.90,54.65,53.60,54.35,58000000
2024-01-24,54.25,55.00,53.95,54.70,52000000
2024-01-25,54.60,55.35,54.30,55.05,60000000
2024-01-26,54.95,55.70,54.65,55.40,64000000
2024-01-29,55.30,56.05,55.00,55.75,56000000
2024-01-30,55.65,56.40,55.35,56.10,53000000
