date,open,high,low,close,volume
2024-01-02,345.50,348.00,343.50,347.00,18000000
2024-01-03,346.75,350.50,345.50,349.50,22000000
2024-01-04,349.00,353.00,348.00,352.00,20000000
2024-01-05,351.50,355.50,350.50,354.50,24000000
2024-01-08,354.00,358.00,353.00,357.00,17000000
2024-01-09,356.50,360.50,355.50,359.50,21000000
2024-01-10,359.00,363.00,358.00,362.00,19000000
2024-01-11,361.50,365.50,360.50,364.50,18000000
2024-01-12,364.00,368.00,363.00,367.00,22000000
2024-01-16,366.50,370.50,365.50,369.50,25000000
2024-01-17,369.00,373.00,368.00,372.00,27000000
2024-01-18,371.50,375.50,370.50,374.50,23000000
2024-01-19,374.00,378.00,373.00,377.00,26000000
2024-01-22,376.50,380.50,375.50,379.50,30000000
2024-01-23,379.00,383.00,378.00,382.00,32000000
2024-01-24,381.50,385.50,380.50,384.50,28000000
2024-01-25,384.00,388.00,383.00,387.00,34000000
2024-01-26,386.50,390.50,385.50,389.50,36000000
2024-01-29,389.00,393.00,388.00,392.00,31000000
2024-01-30,391.50,395.50,390.50,394.50,29000000
