date,open,high,low,close,volume
2024-01-02,375.50,378.00,374.00,377.25,22000000
2024-01-03,377.00,380.50,376.00,379.50,26000000
2024-01-04,379.00,382.00,378.00,381.00,24000000
2024-01-05,380.50,384.00,379.50,383.25,28000000
2024-01-08,382.75,386.00,381.50,385.00,21000000
2024-01-09,384.50,388.00,383.50,387.00,25000000
2024-01-10,386.50,390.00,385.50,389.00,23000000
2024-01-11,388.50,392.00,387.50,391.00,22000000
2024-01-12,390.50,394.00,389.50,393.00,26000000
2024-01-16,392.00,396.00,391.00,395.00,29000000
2024-01-17,394.50,398.00,393.50,397.00,31000000
2024-01-18,396.50,400.00,395.50,399.00,27000000
2024-01-19,398.50,402.00,397.50,401.00,30000000
2024-01-22,400.00,404.00,399.00,403.00,34000000
2024-01-23,402.50,406.00,401.50,405.00,36000000
2024-01-24,404.50,408.00,403.50,407.00,32000000
2024-01-25,406.50,410.00,405.50,409.00,38000000
2024-01-26,408.00,412.00,407.00,411.00,40000000
2024-01-29,410.50,414.00,409.50,413.00,35000000
2024-01-30,412.50,416.00,411.50,415.00,33000000
