date,open,high,low,close,volume
2024-01-02,485.50,490.00,483.00,488.00,8500000
2024-01-03,487.50,493.50,486.00,492.00,10000000
2024-01-04,491.50,497.00,490.00,495.50,9200000
2024-01-05,495.00,501.00,493.50,499.50,10800000
2024-01-08,499.00,505.00,497.50,503.50,8200000
2024-01-09,503.00,509.00,501.50,507.50,9600000
2024-01-10,507.00,513.00,505.50,511.50,8800000
2024-01-11,511.00,517.00,509.50,515.50,8500000
2024-01-12,515.00,521.00,513.50,519.50,9400000
2024-01-16,519.00,525.00,517.50,523.50,10200000
2024-01-17,523.00,529.00,521.50,527.50,11000000
2024-01-18,527.00,533.00,525.50,531.50,9700000
2024-01-19,531.00,537.00,529.50,535.50,10500000
2024-01-22,535.00,541.00,533.50,539.50,11500000
2024-01-23,539.00,545.00,537.50,543.50,12200000
2024-01-24,543.00,549.00,541.50,547.50,10800000
2024-01-25,547.00,553.00,545.50,551.50,13000000
2024-01-26,551.00,557.00,549.50,555.50,13800000
2024-01-29,555.00,561.00,553.50,559.50,12000000
2024-01-30,559.00,565.00,557.50,563.50,11400000
