date,open,high,low,close,volume
2024-01-02,485.50,492.00,483.00,490.00,42000000
2024-01-03,489.00,498.00,487.00,496.00,50000000
2024-01-04,495.00,504.00,493.00,502.00,47000000
2024-01-05,501.00,510.00,499.00,508.00,55000000
2024-01-08,507.00,516.00,505.00,514.00,41000000
2024-01-09,513.00,522.00,511.00,520.00,49000000
2024-01-10,519.00,528.00,517.00,526.00,45000000
2024-01-11,525.00,534.00,523.00,532.00,43000000
2024-01-12,531.00,540.00,529.00,538.00,48000000
2024-01-16,537.00,546.00,535.00,544.00,52000000
2024-01-17,543.00,552.00,541.00,550.00,56000000
2024-01-18,549.00,558.00,547.00,556.00,50000000
2024-01-19,555.00,564.00,553.00,562.00,54000000
2024-01-22,561.00,570.00,559.00,568.00,60000000
2024-01-23,567.00,576.00,565.00,574.00,64000000
2024-01-24,573.00,582.00,571.00,580.00,57000000
2024-01-25,579.00,588.00,577.00,586.00,66000000
2024-01-26,585.00,594.00,583.00,592.00,70000000
2024-01-29,591.00,600.00,589.00,598.00,62000000
2024-01-30,597.00,606.00,595.00,604.00,58000000
