date,open,high,low,close,volume
2024-01-02,248.50,252.00,246.00,250.50,95000000
2024-01-03,250.00,255.50,248.50,254.00,110000000
2024-01-04,253.50,258.00,251.50,256.50,102000000
2024-01-05,256.00,261.50,254.50,260.00,118000000
2024-01-08,259.50,264.00,257.50,262.50,92000000
2024-01-09,262.00,267.50,260.50,266.00,108000000
2024-01-10,265.50,270.00,263.50,268.50,99000000
2024-01-11,268.00,272.50,266.50,271.00,96000000
2024-01-12,270.50,275.00,269.00,273.50,104000000
2024-01-16,273.00,278.00,271.50,276.50,112000000
2024-01-17,276.00,281.50,274.50,280.00,120000000
2024-01-18,279.50,284.00,278.00,282.50,106000000
2024-01-19,282.00,287.00,280.50,285.50,114000000
2024-01-22,285.00,290.50,283.50,289.00,126000000
2024-01-23,288.50,294.00,287.00,292.50,134000000
2024-01-24,292.00,297.00,290.50,295.50,118000000
2024-01-25,295.00,300.50,293.50,299.00,140000000
2024-01-26,298.50,304.00,297.00,302.50,148000000
2024-01-29,302.00,307.50,300.50,306.00,130000000
2024-01-30,305.50,311.00,304.00,309.50,124000000
